Pipeline,F1 Score,Edit Distance with Best,Best Pipeline,Best F1 Score
"power_trans,standard_with_mean_True,power_standardize_False",0.688764395,0,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
normalizer_norm_l2,0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"normalizer_norm_l2,quantile_n_quantiles_10,quantile_distribution_uniform,normalizer_norm_max,quantile_n_quantiles_1500",0.472773266,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"power_standardize_True,quantile_trans",0.49,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"maxabs,power_standardize_False,binarizer_threshold_0.6,power_trans,quantile_n_quantiles_1000,maxabs",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"normalizer,binarizer,power_trans,power_standardize_True,standard_with_mean_False",0.414634146,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
normalizer,0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
binarizer,0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_0.8,quantile_n_quantiles_1500,quantile_n_quantiles_1200,power_trans,binarizer_threshold_0.4",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_0.6,binarizer_threshold_0.2,normalizer,binarizer_threshold_0.4,normalizer_norm_l2",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_0,binarizer_threshold_0.6,binarizer,binarizer_threshold_0,power_standardize_True",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_0.4,quantile_n_quantiles_1500,quantile_n_quantiles_500",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"normalizer_norm_l1,quantile_n_quantiles_2000,power_standardize_True",0.582560297,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer,standardizer,binarizer_threshold_0",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"power_standardize_True,quantile_n_quantiles_1000",0.49,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_2000,quantile_n_quantiles_100,quantile_n_quantiles_10,power_standardize_False,standardizer,power_standardize_True",0.653809168,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_1.0,binarizer_threshold_1.0,power_trans,power_trans",0.414634146,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"normalizer_norm_l2,binarizer_threshold_0.8",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_distribution_uniform,power_standardize_False,quantile_trans",0.49,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"standard_with_mean_False,standard_with_mean_False,minmax,binarizer_threshold_0",0.414634146,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_1000,minmax,quantile_n_quantiles_2000,power_trans,binarizer_threshold_0.6,quantile_n_quantiles_1500",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"standard_with_mean_False,quantile_n_quantiles_500,power_standardize_False,power_standardize_True,normalizer_norm_l1",0.43,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_500,power_standardize_False,quantile_distribution_uniform",0.49,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_100,quantile_n_quantiles_2000",0.49,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_1200,binarizer_threshold_0,quantile_n_quantiles_1500",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_10,binarizer",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"power_standardize_True,quantile_n_quantiles_1000,binarizer_threshold_0.6",0.563636364,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"power_standardize_True,quantile_n_quantiles_100,quantile_n_quantiles_1500,quantile_n_quantiles_1500",0.569699686,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_500,binarizer_threshold_0.4,quantile_n_quantiles_1200",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_0.4,quantile_n_quantiles_1200,binarizer_threshold_0.8",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer,normalizer_norm_max,quantile_trans,standardizer,binarizer_threshold_0,binarizer_threshold_0",0.414634146,6,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"standard_with_mean_False,binarizer_threshold_0.2,normalizer",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"standardizer,quantile_n_quantiles_1200,power_trans,power_standardize_False,quantile_n_quantiles_10",0.49,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"normalizer,normalizer,binarizer_threshold_0.8,quantile_n_quantiles_100",0.414634146,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_1000,standard_with_mean_False,standard_with_mean_True,normalizer_norm_l1,quantile_n_quantiles_10,standard_with_mean_False",0.595789474,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_500,quantile_n_quantiles_100,quantile_n_quantiles_10,quantile_n_quantiles_2000,minmax,normalizer_norm_l1",0.414634146,6,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_500,standard_with_mean_False,power_standardize_False,power_trans,normalizer_norm_l2,quantile_n_quantiles_1200",0.44082013,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"maxabs,quantile_distribution_uniform",0.49,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"minmax,normalizer,maxabs,power_trans",0.680851064,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"power_standardize_True,quantile_n_quantiles_100",0.49,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_0.8,power_standardize_False,normalizer,quantile_n_quantiles_200",0.414634146,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"normalizer_norm_l2,quantile_distribution_uniform,binarizer_threshold_0.6,standard_with_mean_True,quantile_n_quantiles_2000,quantile_distribution_uniform",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"normalizer,quantile_n_quantiles_100",0.52,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"normalizer_norm_max,power_standardize_True,normalizer_norm_l2,standardizer,quantile_n_quantiles_500",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"normalizer_norm_l2,quantile_n_quantiles_1200,binarizer_threshold_0.6",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_trans,power_standardize_True,binarizer_threshold_0.4,binarizer_threshold_1.0",0.414634146,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"standardizer,power_standardize_False,binarizer_threshold_0.6,quantile_n_quantiles_10,quantile_n_quantiles_100,normalizer_norm_l1",0.414634146,6,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_1.0,quantile_n_quantiles_2000,binarizer_threshold_0.2,binarizer_threshold_0.8,normalizer_norm_max",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"normalizer_norm_max,binarizer_threshold_0.4,quantile_distribution_uniform,minmax",0.414634146,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"maxabs,quantile_n_quantiles_500,binarizer_threshold_0.6,minmax,quantile_n_quantiles_1200,power_standardize_False",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"standardizer,power_trans",0.680851064,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
quantile_distribution_uniform,0.49,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_0.4,standard_with_mean_False,power_trans,normalizer_norm_l1,binarizer_threshold_0.4,quantile_n_quantiles_10",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"standard_with_mean_False,quantile_distribution_uniform,binarizer_threshold_0.8",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"power_trans,quantile_n_quantiles_1500,quantile_n_quantiles_200",0.49,2,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
minmax,0.444444444,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_0.4,normalizer_norm_l2,quantile_n_quantiles_10",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_1000,standard_with_mean_False",0.623487225,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_0.4,binarizer,quantile_n_quantiles_100,quantile_trans",0.414634146,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_distribution_uniform,binarizer_threshold_0,quantile_n_quantiles_10,binarizer_threshold_1.0",0.414634146,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"standard_with_mean_True,power_standardize_True,quantile_n_quantiles_1500,binarizer_threshold_0.4",0.414634146,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_10,quantile_n_quantiles_500,binarizer,quantile_distribution_uniform",0.414634146,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_1000,quantile_n_quantiles_500",0.49,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_0.4,quantile_n_quantiles_2000",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_1.0,normalizer,binarizer,quantile_n_quantiles_10,binarizer_threshold_0,quantile_distribution_uniform",0.414634146,6,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
standard_with_mean_False,0.567099567,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"standardizer,normalizer_norm_l1,binarizer_threshold_0.6",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"normalizer,standard_with_mean_False,power_standardize_True",0.567099567,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
normalizer_norm_l1,0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_0.6,quantile_n_quantiles_1200,binarizer_threshold_1.0,quantile_n_quantiles_1200,binarizer_threshold_0.2",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"power_standardize_True,standard_with_mean_False,quantile_n_quantiles_100,normalizer_norm_max,standardizer,binarizer_threshold_0.6",0.414634146,6,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_200,quantile_n_quantiles_200,quantile_n_quantiles_2000,quantile_n_quantiles_1000,standard_with_mean_True",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_0.4,maxabs,power_standardize_True",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"normalizer_norm_l2,quantile_n_quantiles_100,quantile_n_quantiles_500,quantile_n_quantiles_1200",0.52,4,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_1.0,normalizer_norm_l1",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"binarizer_threshold_0.8,quantile_n_quantiles_10,quantile_n_quantiles_1000",0.414634146,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_1200,quantile_n_quantiles_1000",0.49,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_200,binarizer_threshold_0.6,quantile_n_quantiles_100",0.563636364,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"normalizer_norm_l2,binarizer_threshold_0.8,minmax,quantile_n_quantiles_2000,quantile_distribution_uniform,maxabs",0.414634146,6,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"quantile_n_quantiles_2000,normalizer_norm_l1,quantile_n_quantiles_100,binarizer_threshold_0.4,quantile_n_quantiles_100",0.414634146,5,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
standardizer,0.567099567,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
"normalizer_norm_l2,quantile_n_quantiles_1000,normalizer_norm_l2",0.444444444,3,"power_trans,standard_with_mean_True,power_standardize_False",0.688764395
